time,open,high,low,close,tick_volume,spread,real_volume,returns
2025-11-17 22:00:00,4011.14,4043.95,4006.86,4040.9,16342,32,0,0.0074419416362299096
2025-11-17 23:00:00,4040.76,4046.09,4038.7,4045.38,4157,32,0,0.0011086639115047703
2025-11-18 01:00:00,4045.45,4055.29,4028.62,4036.83,7633,34,0,-0.00211352209186777
2025-11-18 02:00:00,4036.8,4041.23,4027.22,4040.12,9850,34,0,0.0008149959250203231
2025-11-18 03:00:00,4040.27,4045.08,4022.51,4024.78,13398,34,0,-0.0037969169232596744
2025-11-18 04:00:00,4024.76,4035.68,4015.15,4017.5,11671,34,0,-0.001808794517961232
2025-11-18 05:00:00,4017.48,4026.25,4008.45,4013.07,11131,34,0,-0.00110267579340384
2025-11-18 06:00:00,4013.08,4018.08,4004.49,4010.38,10957,34,0,-0.0006703097628498744
2025-11-18 07:00:00,4010.44,4025.04,4008.16,4018.88,9961,34,0,0.0021194998977653867
2025-11-18 08:00:00,4018.99,4020.35,4007.54,4008.84,11016,34,0,-0.002498208456087281
2025-11-18 09:00:00,4008.82,4017.33,3997.91,4013.56,11986,32,0,0.0011773979505291798
2025-11-18 10:00:00,4013.86,4042.58,4010.41,4036.69,12886,32,0,0.005762963553553435
2025-11-18 11:00:00,4036.53,4047.11,4030.12,4040.09,10223,32,0,0.0008422742395377547
2025-11-18 12:00:00,4040.11,4050.43,4037.41,4044.1,9905,32,0,0.0009925521461155995
2025-11-18 13:00:00,4044.15,4050.23,4036.92,4039.39,8329,32,0,-0.001164659627605702
2025-11-18 14:00:00,4039.34,4044.89,4029.15,4032.29,11839,32,0,-0.0017576911365330128
2025-11-18 15:00:00,4032.69,4070.17,4031.25,4065.09,16285,32,0,0.008134335576062357
2025-11-18 16:00:00,4065.18,4081.84,4058.02,4065.75,20790,32,0,0.00016235802897357487
2025-11-18 17:00:00,4065.73,4072.31,4048.98,4052.83,22014,32,0,-0.0031777654799237665
2025-11-18 18:00:00,4052.85,4069.1,4040.22,4066.76,17531,32,0,0.0034371044430683284
2025-11-18 19:00:00,4066.68,4075.74,4059.48,4071.26,14652,32,0,0.0011065319812331165
2025-11-18 20:00:00,4071.45,4074.64,4063.05,4072.62,12481,32,0,0.0003340489185166273
2025-11-18 21:00:00,4072.66,4082.03,4072.57,4081.01,12640,32,0,0.00206009890439085
2025-11-18 22:00:00,4081.11,4082.31,4067.3,4069.42,13433,32,0,-0.0028399832394432334
2025-11-18 23:00:00,4069.5,4072.22,4064.79,4067.3,3973,32,0,-0.0005209587607079014
2025-11-19 01:00:00,4067.38,4077.71,4066.0,4076.56,4192,34,0,0.002276694613134067
2025-11-19 02:00:00,4076.54,4078.18,4067.5,4069.29,6484,34,0,-0.001783366367721806
2025-11-19 03:00:00,4069.3,4070.33,4056.31,4059.01,11009,34,0,-0.002526239221092519
2025-11-19 04:00:00,4059.05,4080.52,4055.6,4075.58,11839,34,0,0.004082276220063408
2025-11-19 05:00:00,4075.48,4078.53,4066.0,4066.79,8926,34,0,-0.0021567482419679873
2025-11-19 06:00:00,4066.79,4076.82,4064.37,4075.05,7458,34,0,0.0020310859424754746
2025-11-19 07:00:00,4075.06,4097.39,4074.17,4095.4,12007,34,0,0.004993803757009196
